productid,productname,price,dateofmanufacture,expirationdate,kashrut,categoryid,supplierid
1,Product1,19.91,2025-09-03,2025-11-26,Rabbanut,1,1
2,Product2,44.85,2024-12-07,2024-10-31,Rabbanut,2,2
3,Product3,90.3,2025-11-13,2024-07-10,Rabbanut,3,3
4,Product4,60.57,2025-11-09,2025-05-11,Rabbanut,4,4
5,Product5,48.04,2025-11-08,2025-01-04,Rabbanut,5,5
6,Product6,74.98,2024-05-06,2025-02-25,Rabbanut,1,6
7,Product7,88.86,2024-01-28,2025-09-06,Rabbanut,2,7
8,Product8,12.12,2025-12-03,2025-04-04,Rabbanut,3,8
9,Product9,40.82,2024-03-05,2024-02-05,Rabbanut,4,9
10,Product10,16.65,2025-11-30,2024-04-26,Rabbanut,5,10
11,Product11,99.29,2024-02-18,2024-07-01,Rabbanut,1,11
12,Product12,10.34,2025-03-16,2025-12-16,Rabbanut,2,12
13,Product13,15.71,2024-02-10,2025-06-16,Rabbanut,3,13
14,Product14,60.35,2025-04-26,2024-04-18,Rabbanut,4,14
15,Product15,68.84,2025-11-19,2025-03-18,Rabbanut,5,15
16,Product16,83.1,2025-06-09,2024-07-04,Rabbanut,1,16
17,Product17,63.88,2024-10-10,2024-04-24,Rabbanut,2,17
18,Product18,45.45,2024-06-06,2024-01-20,Rabbanut,3,18
19,Product19,63.44,2024-11-24,2024-01-14,Rabbanut,4,19
20,Product20,61.16,2025-06-13,2025-03-17,Rabbanut,5,20
21,Product21,25.98,2025-08-20,2024-03-29,Rabbanut,1,21
22,Product22,70.59,2025-12-12,2024-10-20,Rabbanut,2,22
23,Product23,97.67,2024-11-04,2024-05-23,Rabbanut,3,23
24,Product24,58.94,2025-02-18,2024-12-15,Rabbanut,4,24
25,Product25,92.67,2025-08-27,2025-06-06,Rabbanut,5,25
26,Product26,36.16,2024-04-01,2024-05-23,Rabbanut,1,26
27,Product27,69.36,2025-05-07,2024-11-07,Rabbanut,2,27
28,Product28,41.57,2024-04-03,2024-02-10,Rabbanut,3,28
29,Product29,20.99,2025-03-11,2025-08-27,Rabbanut,4,29
30,Product30,13.27,2024-04-23,2025-04-05,Rabbanut,5,30
31,Product31,47.48,2025-12-11,2024-01-16,Rabbanut,1,31
32,Product32,55.49,2024-11-13,2024-10-11,Rabbanut,2,32
33,Product33,97.19,2025-01-25,2025-09-11,Rabbanut,3,33
34,Product34,98.38,2024-10-07,2024-09-09,Rabbanut,4,34
35,Product35,90.84,2024-09-08,2024-10-20,Rabbanut,5,35
36,Product36,16.71,2024-11-16,2025-04-15,Rabbanut,1,36
37,Product37,41.43,2024-09-25,2024-09-05,Rabbanut,2,37
38,Product38,59.53,2025-03-26,2024-01-04,Rabbanut,3,38
39,Product39,59.16,2025-08-23,2025-11-22,Rabbanut,4,39
40,Product40,73.88,2025-03-25,2024-03-02,Rabbanut,5,40
41,Product41,36.6,2024-10-13,2024-06-26,Rabbanut,1,41
42,Product42,18.56,2024-12-27,2024-05-27,Rabbanut,2,42
43,Product43,26.4,2024-12-11,2024-12-06,Rabbanut,3,43
44,Product44,8.11,2025-04-29,2024-07-31,Rabbanut,4,44
45,Product45,49.99,2025-07-30,2024-06-29,Rabbanut,5,45
46,Product46,92.8,2025-04-17,2025-06-07,Rabbanut,1,46
47,Product47,28.9,2025-07-03,2024-02-26,Rabbanut,2,47
48,Product48,22.77,2024-02-04,2024-01-13,Rabbanut,3,48
49,Product49,42.01,2025-06-18,2024-05-02,Rabbanut,4,49
50,Product50,68.35,2024-11-10,2024-08-16,Rabbanut,5,50
51,Product51,21.84,2024-01-19,2024-10-31,Rabbanut,1,51
52,Product52,20.27,2024-10-05,2025-12-18,Rabbanut,2,52
53,Product53,60.31,2024-08-22,2024-11-21,Rabbanut,3,53
54,Product54,41.51,2025-01-04,2024-04-22,Rabbanut,4,54
55,Product55,41.36,2025-10-15,2025-09-20,Rabbanut,5,55
56,Product56,36.24,2024-11-30,2024-11-06,Rabbanut,1,56
